"group","pattern","replace"
Alex,\s*александр.*,Александровское
Vesen,\s*ю.*листв.*,Весеннее
Vesen,\s*весен.*,Весеннее
Vesen,\s*стар.*быгин.*,Весеннее
Vesen,\s*в.*быгин.*,Весеннее
ZPogreb,\s*з.*погреб.*,Западно-Погребняковское
Vyaz,\s*вязов.*,Вязовское
SharkUch,\s*шарк.*уч.*,Шарканский участок недр
Oros,\s*оросов.*,Оросовское
Timeev,\s*тимеев.*,Тимеевское
NechUch,\s*нечаян.*уч.*,Нечаянный участок недр
Pikht,\s*пихт.*,Пихтовкинское
Kien,\s*киенгоп.*,Киенгопское
Kien,\s*рудин.*,Киенгопское
Mishk,\s*мишкин.*,Мишкинское
Elnik,\s*ельник.*,Ельниковское
Elnik,\s*апалих.*,Ельниковское
Elnik,\s*сокол.*,Ельниковское
Chut,\s*чутыр.*,Чутырское
Arkh,\s*архангел.*,Архангельское
Lud,\s*лудошур.*,Лудошурское
Krasn,\s*красн.*,Красногорское
UKien,\s*ю.*киенгоп.*,Ю.Киенгопское
Izh,\s*ижев.*,Ижевское
Izh,\s*с.*ижев.*,Ижевское
Izh,\s*сев.*уч.*,Ижевское
Grem,\s*гремих.*,Гремихинское
Beg,\s*бегеш.*,Бегешкинское
Beg,\s*ягул.*,Бегешкинское
VPostol,\s*в.*постол.*,Вст.Постольское
VotkUch,\s*воткин.*уч.*,Воткинский участок недр
Log,\s*логошур.*,Логошурское
Nechk,\s*нечкин.*,Нечкинское
OshvDmitr,\s*ошвор.*дмитр.*,Ошворце-Дмитриевское
Kez,\s*кез.*,Кезское
Listv,\s*листвен.*,Лиственское
VKrasn,\s*в.*красн.*,Вст.Красногорское
VKrasn,\s*меньил.*,Вст.Красногорское
VKrasn,\s*факел.*,Вст.Красногорское
Kyryk,\s*кырыкмас.*,Кырыкмасское
Prikam,\s*прик.*уч.*,Прик.участок Ельниковского
SundNyaz,\s*с.*нязин.*,Сундурско-Нязинское
SundNyaz,\s*сундур.*,Сундурско-Нязинское
SundNyaz,\s*нязин.*,Сундурско-Нязинское
Mesch,\s*мещеряк.*,Мещеряковское
Kivar,\s*киварин.*пл.*,Киваринская площадь
Shark,\s*шаркан.*,Шарканское
Mikh,\s*михайл.*,Михайловское
Mikh,\s*з.*зурин.*,Михайловское
Mikh,\s*с.*септиев.*,Михайловское
Mikh,\s*септиев.*,Михайловское
Mikh,\s*с.*чутыр.*,Михайловское
Mikh,\s*селигурт.*,Михайловское
Mikh,\s*генчеиль.*,Михайловское
LozZura,\s*л.*зурин.*,Лозолюкско-Зуринское
LozZura,\s*зурин.*,Лозолюкско-Зуринское
LozZura,\s*лозол.*,Лозолюкско-Зуринское
LozZura,\s*нов.*глазов.*,Лозолюкско-Зуринское
Bachk,\s*бачкеев.*,Бачкеевское
Esen,\s*есеней.*,Есенейское
Esen,\s*лозин.*,Есенейское
Esen,\s*ю.*есен.*,Есенейское
Yar,\s*ярск.*,Ярское
VKien,\s*вост.*уч.*,Вост.участок Киенгопского
VKien,\s*в.*уч.*киенгоп.*,Вост.участок Киенгопского
Kotov,\s*котов.*,Котовское
Nikol,\s*никол.*,Николаевское
Sosn,\s*соснов.*,Сосновское
Onchug,\s*ончуг.*,Ончугинское
ULuk,\s*ю.*люк.*,Южно-Люкское
Bygin,\s*быгин.*,Быгинское
Lomov,\s*ломов.*,Ломовское
Sizev,\s*сизев.*,Сизевское
Oblast,\s*областн.*,Областновское
Tukmach,\s*тукмач.*,Тукмачевское
AzinPaln,\s*азин.*пальник.*,Азино-Пальниковская площадь
Kaban,\s*кабан.*,Кабановское
SMikh,\s*с.*михайл.*,Северо-Михайловское
KarsUch,\s*карсов.*уч.*,Карсовайский участок недр
Utyag,\s*утяган.*,Утягановское
Zabor,\s*забор.*,Заборское
Kars,\s*с.*карсов.*,Карсовайское
Kars,\s*карсов.*,Карсовайское
Kars,\s*хомяк.*,Карсовайское
Kars,\s*ю.*карсов.*,Карсовайское
Izhevsk,\s*г.*ижевск.*,г. Ижевск
Votkinsk,\s*г.*воткинск.*,г. Воткинск
Igra,\s*игрин.*р.*н.*,Игринский р-н
MalPurga,\s*нпс.*мал.*пурга.*,НПС Малая пурга
Marasany,\s*д.*марасан.*,д. Н.Марасаны
Sigaevo,\s*п.*сигаев.*,п. Сигаево
Sharkany,\s*шаркан.*р.*н.*,Шарканский р-н
Karakulino,\s*каракулин.*р.*н.*,Каракулинский р-н
Olimpiec,\s*п.*л.*олимпиец.*,п/л Олимпиец
