"group","pattern","replace","order"
Tur_Zvlzh,(?:^\W*)?тур\w*\s*[\-+]\s*за?в\w*(?:\W*\(.*?\))?(?:\W*$)?,Турнейско-заволжский,17
Vr_Bsh,Верейско-башкирский Восточного участка,Верейско-башкирский,9
Vr_Bsh,(?:^\W*)?ве?р\w*\s*[\-+]\s*ба?ш\w*(?:\W*\(.*?\))?(?:\W*$)?,Верейско-башкирский,9
Vr_Bsh,(?:^\W*)?ба?ш\w*\s*[\-+]\s*ве?р\w*(?:\W*\(.*?\))?(?:\W*$)?,Верейско-башкирский,9
Kas_Mch_Pd_Ksh,(?:^\W*)?ка?с\w*\s*[\-+]\s*мя?ч\w*\s*[\-+]\s*по?д\w*\s*[\-+]\s*ка?ш\w*(?:\W*\(.*?\))?(?:\W*$)?,Касимовско-мячковско-подоло-каширский,2
Kas_Mch_Pd_Ksh,(?:^\W*)?ка?с\w*\s*[\-+]\s*по?д\w*\s*[\-+]\s*ка?ш\w*(?:\W*\(.*?\))?(?:\W*$)?,Касимовско-мячковско-подоло-каширский,2
Pd_Ksh_Vr,(?:^\W*)?по?д\w*\s*[\-+]\s*ка?ш\w*\s*[\-+]\s*ве?р\w*(?:\W*\(.*?\))?(?:\W*$)?,Подоло-каширо-верейский,6
Pd_Ksh_Vr,(?:^\W*)?ве?р\w*\s*[\-+]\s*ка?ш\w*\s*[\-+]\s*по?д\w*(?:\W*\(.*?\))?(?:\W*$)?,Подоло-каширо-верейский,6
Pd_Ksh_Vr,(?:^\W*)?ка?ш\w*\s*[\-+]\s*по?д\w*\s*[\-+]\s*ве?р\w*(?:\W*\(.*?\))?(?:\W*$)?,Подоло-каширо-верейский,6
Ksh_Vr,(?:^\W*)?ка?ш\w*\s*[\-+]\s*ве?р\w*(?:\W*\(.*?\))?(?:\W*$)?,Каширско-верейский,7
Pd_Ksh,(?:^\W*)?по?д\w*\s*[\-+]\s*ка?ш\w*(?:\W*\(.*?\))?(?:\W*$)?,Подоло-каширский,5
Ksh,(?:^\W*)?ка?ш\w*(?:\W*\(.*?\))?(?:\W*$)?,Каширский,4
Pd,(?:^\W*)?по?д\w*(?:\W*\(.*?\))?(?:\W*$)?,Подольский,3
Vr,(?:^\W*)?ве?р\w*(?:\W*\(.*?\))?(?:\W*$)?,Верейский,8
Tat,(?:^\W*)?тат\w*(?:\W*\(.*?\))?(?:\W*$)?,Татарский,1
Vz_Bb,(?:^\W*)?ви?з\w*\s*\(\s*бобр\w*\s*\)(?:\W*\(.*?\))?(?:\W*$)?,Визейский(Бобриковский),14
Vz_Tl,(?:^\W*)?ви?з\w*\s*\(\s*тул\w*\s*\)(?:\W*\(.*?\))?(?:\W*$)?,Визейский(Тульский),13
Vz_Al,(?:^\W*)?ви?з\w*\s*\(\s*ал\w*\s*\)(?:\W*\(.*?\))?(?:\W*$)?,Визейский(Алексинский),12
Vz_Al,(?:^\W*)?ви?з\w*\s*\(\s*ок\w*\s*\)(?:\W*\(.*?\))?(?:\W*$)?,Визейский(Алексинский),12
Vz,(?:^\W*)?ви?з\w*(?:\W*\(.*?\))?(?:\W*$)?,Визейский,15
Dvn,(?:^\W*)?де?вн\w*(?:\W*\(.*?\))?(?:\W*$)?,Девонский,19
Bsh,(?:^\W*)?ба?ш\w*(?:\W*\(.*?\))?(?:\W*$)?,Башкирский,10
Tur,Турнейский Рудинского купола,Турнейский,16
Tur,(?:^\W*)?тур\w*(?:\s*ярус)?(?:\W*\(.*?\))?(?:\W*$)?,Турнейский,16
Srp,(?:^\W*)?се?рп\w*(?:\W*\(.*?\))?(?:\W*$)?,Серпуховский,11
Fm,(?:^\W*)?фа?м\w*(?:\W*\(.*?\))?(?:\W*$)?,Фаменский,18
Vend,(?:^\W*)?венд\w*(?:\W*\(.*?\))?(?:\W*$)?,Вендский,20
