field;well_name;cid_all;cid;dat_rep;liq_rate;inj_rate;well_type;rec_date;layer;diff_absorp;remarks
Александровское;3010P;Визейский,Турнейско-заволжский;Визейский;2023-04-01;121.73893333333332;0.0;;;;;
Александровское;3010P;Визейский,Турнейско-заволжский;Турнейско-заволжский;2023-04-01;121.73806666666665;0.0;;;;;
Александровское;3011;Турнейско-заволжский;Турнейско-заволжский;2023-04-01;29.223000000000003;0.0;;;;;
Архангельское;100R;Девонский;Девонский;2023-04-01;601.2336333333334;0.0;;;;;
Архангельское;111R;Девонский;Девонский;2023-04-01;182.20146666666668;0.0;;;;;
Архангельское;112R;Девонский;Девонский;2023-04-01;0.0;1137.5333333333333;Нагнетательная;2022-03-20;Д-0,Д-I;20.0;
Архангельское;112R;Девонский;Девонский;2023-04-01;0.0;1137.5333333333333;Нагнетательная;2022-03-20;Д-0,Д-I;80.0;- к глубине дохождения прибора
Архангельское;158;Девонский;Девонский;2023-04-01;357.50606666666664;0.0;;;;;
Архангельское;159;Девонский;Девонский;2023-04-01;189.9673;0.0;;;;;
Архангельское;160;Девонский;Девонский;2023-04-01;298.9583;0.0;;;;;
Архангельское;162;Девонский;Девонский;2023-04-01;258.43;0.0;Нефтяная;2008-08-23;;36.0;Негерметичность
Архангельское;162;Девонский;Девонский;2023-04-01;258.43;0.0;Нефтяная;2008-08-23;;64.0;Негерметичность
Архангельское;163;Девонский;Девонский;2023-04-01;188.5075454545454;0.0;Нефтяная;2009-09-14;Д-0,Д-I;7.0;
Архангельское;163;Девонский;Девонский;2023-04-01;188.5075454545454;0.0;Нефтяная;2009-09-14;Д-0,Д-I;13.0;
Архангельское;163;Девонский;Девонский;2023-04-01;188.5075454545454;0.0;Нефтяная;2009-09-14;Д-0,Д-I;20.0;
Архангельское;163;Девонский;Девонский;2023-04-01;188.5075454545454;0.0;Нефтяная;2009-09-14;Д-0,Д-I;60.0;
Архангельское;164;Девонский;Девонский;2023-04-01;456.71889999999996;0.0;;;;;
Архангельское;168;Девонский;Девонский;2023-04-01;428.50169999999997;0.0;;;;;
Архангельское;169;Девонский;Девонский;2023-04-01;306.3297333333333;0.0;;;;;
Архангельское;171;Девонский;Девонский;2023-04-01;251.22140000000002;0.0;;;;;
Архангельское;173;Девонский;Девонский;2023-04-01;74.34146666666668;0.0;;;;;
Архангельское;174;Девонский;Девонский;2023-04-01;339.8024666666667;0.0;;;;;
Архангельское;175;Девонский;Девонский;2023-04-01;217.77372067039107;0.0;;;;;
Архангельское;179;Девонский;Девонский;2023-04-01;163.94576666666669;0.0;;;;;
Архангельское;180;Девонский;Девонский;2023-04-01;0.0;242.0;;;;;
Архангельское;181;Девонский;Девонский;2023-04-01;149.09663333333336;0.0;;;;;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;;6.0;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;Д-0,Д-I;5.0;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;Д-0,Д-I;6.0;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;Д-0,Д-I;7.0;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;Д-0,Д-I;11.0;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;Д-0,Д-I;16.0;
Архангельское;186;Девонский;Девонский;2023-04-01;0.0;697.0;Нагнетательная;2010-02-04;Д-0,Д-I;49.0;
Архангельское;189;Девонский;Девонский;2023-04-01;137.33096666666668;0.0;;;;;
Архангельское;190;Девонский;Девонский;2023-04-01;223.54353333333336;0.0;;;;;
